Area,Feature ID,Feature Name,User Story,Expected Behavior,Status,Source Files,Test Coverage,Test Run Status,Notes
Project,PRJ-001,Package auto-import of GraphQL converters,"As a developer, when I import apibase in a configured Django project, I want graphene-django form-field converters to be registered automatically so that list filters expose correct GraphQL types.","If Django settings are configured at import time, importing apibase triggers import of apibase.graphql, which registers converters for ListCharField, ListIntegerField, MonthRangeField, and MultipleChoiceField. If settings are not yet configured, registration is deferred until apibase.graphql is explicitly imported.",Implemented + Tested + Documented,"apibase/__init__.py, apibase/graphql/__init__.py, apibase/graphql/converters.py",apibase/graphql/tests/test_converters.py,Pass,
Project,PRJ-002,Version metadata,"As a maintainer, I want the package to expose a version string so that consumers and tests can assert compatibility.",apibase.__version__ returns the current package version. Note: apibase/__init__.py currently reads '0.4.0' while pyproject.toml reads '0.4.1'.,Implemented + Tested,"apibase/__init__.py, pyproject.toml",tests/test_apibase.py,Pass,Version mismatch between source and package metadata should be aligned.
Settings,SET-001,APIBASE settings singleton,"As a developer, I want to override apibase behavior via a Django settings dict so that URLs, URNs, and storage paths match my deployment.","apibase_settings reads the APIBASE dict from Django settings. It provides lazy attribute access, caching, and import-string resolution. Unknown attributes raise AttributeError.",Implemented,"apibase/settings/settings.py, apibase/settings/__init__.py",tests/test_settings.py,Pass,
Settings,SET-002,URN_NID setting,"As a developer, I want to configure the URN namespace identifier used across the app.",Default is 'x-nid'; overridden by APIBASE['URN_NID']. Used by model_urn and parse_urn.,Implemented,"apibase/settings/__init__.py, apibase/urn.py",tests/test_settings.py,Pass,
Settings,SET-003,URN_NSS setting,"As a developer, I want to configure the URN namespace-specific string.",Default is 'self'. Used by model_urn and rest_endpoint_from_urn to build or parse URNs.,Implemented,"apibase/settings/__init__.py, apibase/urn.py",tests/test_settings.py,Pass,
Settings,SET-004,DOMAIN / SCHEME / HOST settings,"As a developer, I want REST endpoint URLs generated by the library to use my deployment domain and scheme.","DOMAIN defaults to None (falls back to django.contrib.sites), SCHEME defaults to 'https'. HOST defaults to 'self' but is currently declared and never read by any code path.",Implemented,"apibase/settings/__init__.py, apibase/urn.py, apibase/serializers.py",tests/test_settings.py,Pass,HOST setting is dead configuration; consider removing or implementing intended behavior.
Settings,SET-005,STORAGE_PREFIX setting,"As a developer, I want to control the URL path prefix used for storage-based file downloads.",Default is 'storage'. Used by DownloadMixin.download_filefield_storage and LocalPathResolver.construct_filename.,Implemented,"apibase/settings/__init__.py, apibase/viewsets.py, apibase/storages.py",tests/test_settings.py,Pass,
Identity,IDN-001,Transport-neutral URN helper,"As an API consumer, I want every model instance to be addressable by a stable URN so that I can reference resources across services.","identity.urn(instance, nss=None, nid=None) delegates to model_urn using APIBASE defaults, producing 'urn:{nid}:{nss}:{app_label}:{model_name}:{pk}'.",Implemented + Tested + Documented,"apibase/identity.py, apibase/urn.py",tests/test_identity_characterization.py,Pass,
Identity,IDN-002,Transport-neutral endpoint helper,"As an API consumer, I want the canonical REST detail URL for any model instance.","identity.endpoint(instance, url_name=None, pk_name='pk') uses instance.get_endpoint_url() when present; otherwise reverses 'api-{app_label}-{model_name}-detail'. Soft-fails to empty string on any exception so serialization does not crash.",Implemented + Tested,apibase/identity.py,tests/test_identity_characterization.py,Pass,
Identity,IDN-003,Transport-neutral display helper,"As an API consumer, I want a human-readable string for any resource.",identity.display(instance) returns str(instance).,Implemented + Tested,apibase/identity.py,tests/test_identity_characterization.py,Pass,
Identity,IDN-004,Absolute URI builder helper,"As an API consumer, I want relative paths turned into absolute URLs when a request/builder is available.","identity.absolute_uri(path, *, builder, fallback) returns builder.build_absolute_uri(path) when builder is not None; otherwise returns fallback. Used by REST EndpointField and GraphQL NodeMixin.resolve_endpoint.",Implemented + Tested,"apibase/identity.py, apibase/serializers.py, apibase/graphql/mixins.py",tests/test_identity_characterization.py,Pass,
